start_time,end_time,venue_name,venue_lat,venue_lon,expected_attendance,event_type
2017-01-02 19:30,2017-01-02 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-01-03 19:00,2017-01-03 21:30,SAP Center,37.3327,-121.901,17562,NHL
2017-01-04 19:30,2017-01-04 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-01-05 19:30,2017-01-05 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-01-06 19:30,2017-01-06 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-01-07 19:30,2017-01-07 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-01-10 19:30,2017-01-10 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-01-12 19:30,2017-01-12 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-01-14 19:30,2017-01-14 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-01-16 13:00,2017-01-16 15:30,SAP Center,37.3327,-121.901,17562,NHL
2017-01-16 17:00,2017-01-16 19:30,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-01-18 19:30,2017-01-18 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-01-19 19:30,2017-01-19 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-01-21 19:30,2017-01-21 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-01-26 19:30,2017-01-26 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-01-28 17:30,2017-01-28 20:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-01-31 19:30,2017-01-31 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-02-01 19:30,2017-02-01 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-02-04 19:30,2017-02-04 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-02-08 19:30,2017-02-08 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-02-15 19:30,2017-02-15 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-02-15 19:30,2017-02-15 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-02-19 17:30,2017-02-19 20:00,SAP Center,37.3327,-121.901,17562,NHL
2017-02-23 19:30,2017-02-23 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-02-25 19:30,2017-02-25 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-02-28 19:30,2017-02-28 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-03-02 19:30,2017-03-02 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-03-04 19:00,2017-03-04 21:00,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-03-08 19:30,2017-03-08 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-03-09 19:30,2017-03-09 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-03-11 13:00,2017-03-11 15:30,SAP Center,37.3327,-121.901,17562,NHL
2017-03-11 19:00,2017-03-11 21:00,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-03-12 19:00,2017-03-12 21:30,SAP Center,37.3327,-121.901,17562,NHL
2017-03-14 19:30,2017-03-14 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-03-14 19:30,2017-03-14 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-03-16 19:30,2017-03-16 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-03-16 19:30,2017-03-16 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-03-18 19:30,2017-03-18 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-03-18 19:30,2017-03-18 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-03-24 19:30,2017-03-24 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-03-26 17:00,2017-03-26 19:30,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-03-28 19:30,2017-03-28 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-03-31 19:30,2017-03-31 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-04-02 17:00,2017-04-02 19:30,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-04-03 19:05,2017-04-03 22:05,Oakland Coliseum,37.7516,-122.2006,36067,MLB
2017-04-04 19:05,2017-04-04 22:05,Oakland Coliseum,37.7516,-122.2006,11225,MLB
2017-04-04 19:30,2017-04-04 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-04-04 19:30,2017-04-04 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-04-05 19:05,2017-04-05 22:05,Oakland Coliseum,37.7516,-122.2006,13405,MLB
2017-04-06 12:35,2017-04-06 15:35,Oakland Coliseum,37.7516,-122.2006,13292,MLB
2017-04-06 19:30,2017-04-06 22:00,SAP Center,37.3327,-121.901,17562,NHL
2017-04-08 19:00,2017-04-08 21:30,SAP Center,37.3327,-121.901,17562,NHL
2017-04-08 19:30,2017-04-08 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-04-08 19:30,2017-04-08 21:30,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-04-10 13:35,2017-04-10 16:35,AT&T Park,37.7786,-122.3893,42129,MLB
2017-04-10 19:30,2017-04-10 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-04-11 19:15,2017-04-11 22:15,AT&T Park,37.7786,-122.3893,41562,MLB
2017-04-12 19:15,2017-04-12 22:15,AT&T Park,37.7786,-122.3893,41656,MLB
2017-04-12 19:30,2017-04-12 22:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-04-13 19:15,2017-04-13 22:15,AT&T Park,37.7786,-122.3893,41915,MLB
2017-04-14 19:05,2017-04-14 22:05,Oakland Coliseum,37.7516,-122.2006,15385,MLB
2017-04-14 19:15,2017-04-14 22:15,AT&T Park,37.7786,-122.3893,42738,MLB
2017-04-14 20:00,2017-04-14 22:00,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-04-15 13:05,2017-04-15 16:05,Oakland Coliseum,37.7516,-122.2006,20140,MLB
2017-04-15 13:05,2017-04-15 16:05,AT&T Park,37.7786,-122.3893,42371,MLB
2017-04-16 12:30,2017-04-16 15:00,Oracle Arena,37.7503,-122.2031,19596,NBA
2017-04-16 13:05,2017-04-16 16:05,Oakland Coliseum,37.7516,-122.2006,18000,MLB
