station,valid,tmpf,p01i,sknt
NUQ,2017-01-01 00:56,40.00,0.00,0.00
NUQ,2017-01-01 01:39,42.00,0.00,3.00
NUQ,2017-01-01 01:56,44.00,0.00,5.00
NUQ,2017-01-01 02:56,46.00,0.00,3.00
NUQ,2017-01-01 03:29,46.00,0.00,0.00
NUQ,2017-01-01 03:43,46.00,0.00,3.00
NUQ,2017-01-01 03:56,46.00,0.00,3.00
NUQ,2017-01-01 04:35,43.00,0.00,5.00
NUQ,2017-01-01 04:56,44.00,0.00,0.00
NUQ,2017-01-01 05:11,44.00,0.00,3.00
NUQ,2017-01-01 05:46,43.00,0.00,4.00
NUQ,2017-01-01 05:56,44.00,0.00,3.00
NUQ,2017-01-01 06:56,44.00,0.00,3.00
NUQ,2017-01-01 07:56,45.00,0.00,4.00
NUQ,2017-01-01 08:12,45.00,0.00,0.00
NUQ,2017-01-01 08:29,45.00,0.00,4.00
NUQ,2017-01-01 08:56,46.00,0.00,0.00
NUQ,2017-01-01 09:03,46.00,0.00,3.00
NUQ,2017-01-01 09:19,47.00,0.00,3.00
NUQ,2017-01-01 09:56,50.00,0.00,6.00
NUQ,2017-01-01 10:56,51.00,0.00,8.00
NUQ,2017-01-01 11:56,53.00,0.00,7.00
NUQ,2017-01-01 12:56,53.00,0.00,7.00
NUQ,2017-01-01 13:56,53.00,0.00,6.00
NUQ,2017-01-01 14:56,54.00,0.00,8.00
NUQ,2017-01-01 15:56,53.00,0.00,7.00
NUQ,2017-01-01 16:56,50.00,0.00,6.00
NUQ,2017-01-01 17:56,48.00,0.00,5.00
NUQ,2017-01-01 18:56,48.00,0.00,3.00
NUQ,2017-01-01 19:56,47.00,0.00,0.00
NUQ,2017-01-01 20:56,46.00,0.01,4.00
NUQ,2017-01-01 21:56,46.00,T,0.00
NUQ,2017-01-01 22:56,46.00,T,0.00
NUQ,2017-01-01 23:56,46.00,0.00,3.00
NUQ,2017-01-02 00:56,45.00,T,6.00
NUQ,2017-01-02 01:56,46.00,0.00,3.00
NUQ,2017-01-02 02:24,45.00,0.01,4.00
NUQ,2017-01-02 02:31,45.00,0.01,6.00
NUQ,2017-01-02 02:56,44.00,0.01,5.00
NUQ,2017-01-02 03:56,44.00,0.02,5.00
NUQ,2017-01-02 04:56,43.00,0.01,6.00
NUQ,2017-01-02 05:56,44.00,T,5.00
NUQ,2017-01-02 06:56,44.00,0.00,5.00
NUQ,2017-01-02 07:56,44.00,0.00,0.00
NUQ,2017-01-02 08:56,45.00,0.00,8.00
NUQ,2017-01-02 09:56,46.00,T,4.00
NUQ,2017-01-02 10:56,48.00,0.01,6.00
NUQ,2017-01-02 11:56,49.00,T,5.00
NUQ,2017-01-02 12:56,50.00,T,4.00
NUQ,2017-01-02 13:56,50.00,0.00,6.00
NUQ,2017-01-02 14:56,51.00,T,4.00
NUQ,2017-01-02 15:56,51.00,0.00,7.00
NUQ,2017-01-02 16:56,50.00,T,3.00
NUQ,2017-01-02 17:56,49.00,0.00,5.00
NUQ,2017-01-02 18:56,48.00,0.00,7.00
NUQ,2017-01-02 19:56,48.00,0.00,8.00
NUQ,2017-01-02 20:56,48.00,0.00,11.00
NUQ,2017-01-02 21:56,48.00,0.00,7.00
NUQ,2017-01-02 22:56,49.00,0.00,6.00
NUQ,2017-01-02 23:56,49.00,0.00,4.00
NUQ,2017-01-03 00:56,48.00,T,6.00
NUQ,2017-01-03 01:56,49.00,0.00,9.00
NUQ,2017-01-03 02:56,49.00,0.02,6.00
NUQ,2017-01-03 03:32,48.00,0.01,5.00
NUQ,2017-01-03 03:56,48.00,0.01,6.00
NUQ,2017-01-03 04:16,48.00,0.03,8.00
NUQ,2017-01-03 04:56,48.00,0.04,10.00
NUQ,2017-01-03 05:56,48.00,T,5.00
NUQ,2017-01-03 06:24,49.00,0.00,6.00
NUQ,2017-01-03 06:56,49.00,0.00,6.00
NUQ,2017-01-03 07:03,49.00,0.00,6.00
NUQ,2017-01-03 07:25,49.00,0.00,7.00
NUQ,2017-01-03 07:48,49.00,0.00,5.00
NUQ,2017-01-03 07:56,49.00,0.00,5.00
NUQ,2017-01-03 08:08,50.00,0.00,4.00
NUQ,2017-01-03 08:56,51.00,0.00,6.00
NUQ,2017-01-03 09:56,52.00,0.00,10.00
NUQ,2017-01-03 10:56,53.00,0.00,9.00
NUQ,2017-01-03 11:56,54.00,0.00,8.00
NUQ,2017-01-03 12:56,54.00,0.01,12.00
NUQ,2017-01-03 13:56,54.00,T,10.00
NUQ,2017-01-03 14:56,54.00,T,14.00
NUQ,2017-01-03 15:39,54.00,0.03,13.00
NUQ,2017-01-03 15:56,54.00,0.06,11.00
NUQ,2017-01-03 16:31,54.00,0.05,12.00
NUQ,2017-01-03 16:56,55.00,0.05,12.00
NUQ,2017-01-03 17:56,54.00,0.04,12.00
NUQ,2017-01-03 18:56,54.00,0.01,19.00
NUQ,2017-01-03 19:56,55.00,0.04,16.00
NUQ,2017-01-03 20:56,55.00,0.04,17.00
NUQ,2017-01-03 21:56,55.00,0.01,14.00
NUQ,2017-01-03 22:56,55.00,T,16.00
NUQ,2017-01-03 23:56,54.00,0.05,17.00
NUQ,2017-01-04 00:27,55.00,T,15.00
NUQ,2017-01-04 00:40,54.00,0.01,13.00
NUQ,2017-01-04 00:56,55.00,0.02,13.00
NUQ,2017-01-04 01:11,55.00,T,11.00
NUQ,2017-01-04 01:18,56.00,T,14.00
NUQ,2017-01-04 01:56,56.00,0.01,13.00
NUQ,2017-01-04 02:06,56.00,T,10.00
NUQ,2017-01-04 02:44,57.00,0.01,11.00
NUQ,2017-01-04 02:56,57.00,0.02,8.00
NUQ,2017-01-04 03:56,57.00,T,8.00
