station,valid,tmpf,p01i,sknt
SJC,2017-01-01 00:53,40.00,0.00,6.00
SJC,2017-01-01 01:53,41.00,0.00,0.00
SJC,2017-01-01 02:53,42.00,0.00,5.00
SJC,2017-01-01 03:53,43.00,0.00,4.00
SJC,2017-01-01 04:11,43.00,0.00,7.00
SJC,2017-01-01 04:53,43.00,0.00,6.00
SJC,2017-01-01 05:53,44.00,0.00,6.00
SJC,2017-01-01 06:53,44.00,0.00,5.00
SJC,2017-01-01 07:53,44.00,0.00,4.00
SJC,2017-01-01 08:53,46.00,0.00,4.00
SJC,2017-01-01 09:53,48.00,0.00,0.00
SJC,2017-01-01 10:53,52.00,0.00,0.00
SJC,2017-01-01 11:53,53.00,0.00,7.00
SJC,2017-01-01 12:53,55.00,0.00,6.00
SJC,2017-01-01 13:53,55.00,0.00,10.00
SJC,2017-01-01 14:53,54.00,0.00,11.00
SJC,2017-01-01 15:53,54.00,0.00,13.00
SJC,2017-01-01 16:53,50.00,0.00,14.00
SJC,2017-01-01 17:53,48.00,0.00,6.00
SJC,2017-01-01 18:53,48.00,0.00,4.00
SJC,2017-01-01 19:53,46.00,0.00,0.00
SJC,2017-01-01 20:53,48.00,0.00,3.00
SJC,2017-01-01 21:53,47.00,T,5.00
SJC,2017-01-01 22:53,46.00,T,7.00
SJC,2017-01-01 23:53,45.00,0.00,5.00
SJC,2017-01-02 00:53,45.00,T,6.00
SJC,2017-01-02 01:53,45.00,T,7.00
SJC,2017-01-02 02:53,45.00,T,5.00
SJC,2017-01-02 03:53,44.00,0.01,5.00
SJC,2017-01-02 04:53,44.00,0.01,3.00
SJC,2017-01-02 05:53,44.00,0.00,5.00
SJC,2017-01-02 06:53,44.00,T,8.00
SJC,2017-01-02 07:53,45.00,0.00,8.00
SJC,2017-01-02 08:53,46.00,0.00,9.00
SJC,2017-01-02 09:53,47.00,0.00,8.00
SJC,2017-01-02 10:53,48.00,T,7.00
SJC,2017-01-02 11:53,47.00,0.03,0.00
SJC,2017-01-02 12:53,49.00,0.02,0.00
SJC,2017-01-02 13:53,50.00,0.00,5.00
SJC,2017-01-02 14:53,50.00,T,7.00
SJC,2017-01-02 15:53,51.00,T,8.00
SJC,2017-01-02 16:53,50.00,T,7.00
SJC,2017-01-02 17:53,49.00,0.00,10.00
SJC,2017-01-02 18:53,49.00,0.00,11.00
SJC,2017-01-02 19:53,48.00,0.00,11.00
SJC,2017-01-02 20:53,48.00,T,8.00
SJC,2017-01-02 21:53,48.00,T,7.00
SJC,2017-01-02 22:53,49.00,0.00,5.00
SJC,2017-01-02 23:53,49.00,T,6.00
SJC,2017-01-03 00:06,49.00,0.00,7.00
SJC,2017-01-03 00:19,49.00,0.00,9.00
SJC,2017-01-03 00:40,49.00,T,7.00
SJC,2017-01-03 00:53,49.00,T,7.00
SJC,2017-01-03 01:53,49.00,0.01,5.00
SJC,2017-01-03 02:53,49.00,T,4.00
SJC,2017-01-03 03:35,49.00,0.02,6.00
SJC,2017-01-03 03:53,49.00,0.03,6.00
SJC,2017-01-03 04:53,49.00,T,10.00
SJC,2017-01-03 05:53,49.00,0.01,7.00
SJC,2017-01-03 06:53,49.00,T,10.00
SJC,2017-01-03 07:53,50.00,0.00,12.00
SJC,2017-01-03 08:53,51.00,0.00,15.00
SJC,2017-01-03 09:53,53.00,T,20.00
SJC,2017-01-03 10:53,53.00,T,15.00
SJC,2017-01-03 11:53,55.00,T,15.00
SJC,2017-01-03 12:53,54.00,T,20.00
SJC,2017-01-03 13:53,54.00,0.01,16.00
SJC,2017-01-03 14:53,54.00,T,12.00
SJC,2017-01-03 15:53,54.00,0.01,7.00
SJC,2017-01-03 16:29,54.00,0.01,9.00
SJC,2017-01-03 16:39,54.00,0.01,12.00
