model,description,evaluation,input_channels,graph_operator,loss,parameters,MAE_15min,RMSE_15min,MAPE_15min,MAE_30min,RMSE_30min,MAPE_30min,MAE_60min,RMSE_60min,MAPE_60min,MAE_45min,MAE_advWx_15min,MAE_advWx_30min,MAE_advWx_60min,MAE_rainXcmt_15min,MAE_rainXcmt_30min,MAE_rainXcmt_60min,MAE_egress_15min,MAE_egress_30min,MAE_egress_60min,propagation_fidelity,propagation_sd,onset_recall,false_alarms
0_speed,STGCN speed only (published baseline),rolling folds 00-02 (this work),1,Chebyshev,L1,116940,1.392,2.878,2.869,1.865,4.111,4.121,2.502,5.554,5.885,2.214,1.463,2.012,2.743,2.527,3.851,5.349,0.951,1.134,1.307,1.375,0.097,0.702,1432
1_traffic,plus occupancy,rolling folds 00-02 (this work),2,Chebyshev,L1,117388,1.371,2.813,2.837,1.81,3.954,4.01,2.369,5.215,5.512,2.116,1.447,1.957,2.576,2.505,3.808,5.147,0.932,1.097,1.25,1.452,0.096,0.726,1770
2_calendar,plus calendar (time of day / day of week / holiday),rolling folds 00-02 (this work),5,Chebyshev,L1,118732,1.37,2.799,2.835,1.788,3.888,3.963,2.279,4.983,5.299,2.062,1.457,1.952,2.508,2.499,3.712,4.861,0.933,1.093,1.237,1.489,0.088,0.75,1868
3_weather,plus weather (temperature / precipitation / wind),rolling folds 00-02 (this work),5,Chebyshev,L1,118732,1.402,2.88,2.92,1.868,4.09,4.173,2.485,5.472,5.85,2.206,1.508,2.053,2.747,2.636,4.033,5.559,0.945,1.12,1.302,1.454,0.134,0.688,1381
4_event_geo,plus event geometry (venue distance + activity) but NO attendance,rolling folds 00-02 (this work),4,Chebyshev,L1,118284,1.372,2.802,2.837,1.793,3.897,3.948,2.318,5.085,5.313,2.079,1.456,1.954,2.547,2.529,3.795,5.07,0.945,1.108,1.255,1.348,0.07,0.763,2144
5_event_geo_att,plus event geometry AND attendance,rolling folds 00-02 (this work),5,Chebyshev,L1,118732,1.37,2.8,2.837,1.789,3.889,3.956,2.303,5.045,5.299,2.07,1.453,1.953,2.534,2.523,3.792,4.991,0.942,1.102,1.239,1.324,0.034,0.752,1823
6_all,all 11 channels,rolling folds 00-02 (this work),11,Chebyshev,L1,121420,1.395,2.837,2.892,1.83,3.958,4.032,2.361,5.117,5.403,2.124,1.523,2.066,2.716,2.627,3.96,5.283,0.973,1.172,1.406,1.389,0.078,0.738,1775
0_speed__weighted,speed only + congestion-weighted loss,rolling folds 00-02 (this work),1,Chebyshev,weighted L1,116940,1.412,2.9,2.834,1.906,4.165,4.041,2.596,5.684,5.782,2.28,1.487,2.069,2.879,2.559,3.967,5.774,0.965,1.159,1.356,1.306,0.072,0.747,2353
6_all__weighted,all channels + congestion-weighted loss,rolling folds 00-02 (this work),11,Chebyshev,weighted L1,121420,1.402,2.824,2.828,1.832,3.928,3.886,2.356,5.089,5.139,2.118,1.525,2.043,2.671,2.627,3.934,5.275,0.965,1.134,1.304,1.376,0.136,0.78,2445
0_speed__diffusion,speed only + directed operator,rolling folds 00-02 (this work),1,diffusion (directed),L1,133324,1.39,2.875,2.861,1.864,4.111,4.13,2.503,5.564,5.92,2.213,1.462,2.012,2.741,2.522,3.868,5.372,0.949,1.13,1.304,1.246,0.067,0.701,1379
6_all__diffusion,all channels + directed operator,rolling folds 00-02 (this work),11,diffusion (directed),L1,137804,1.39,2.821,2.889,1.82,3.935,4.039,2.338,5.092,5.391,2.108,1.52,2.064,2.708,2.661,4.064,5.418,0.965,1.148,1.329,1.315,0.061,0.74,1783
persistence,persistence (trivial baseline),rolling folds 00-02 (this work),-,-,-,-,1.568,3.292,3.131,2.157,4.838,4.533,3.043,6.893,6.722,2.628,1.643,2.308,3.306,2.813,4.52,7.183,1.02,1.228,1.4,-,-,0.654,1748
historical_average,historical average (trivial baseline),rolling folds 00-02 (this work),-,-,-,-,2.776,5.229,5.997,2.776,5.229,5.997,2.776,5.229,5.998,2.776,3.118,3.109,3.061,6.247,6.252,5.973,1.957,1.917,1.826,-,-,0.77,4772
STGCN (our reproduction),"this work - stage 8, pre-5d2621e Laplacian, not re-run since",conventional 70/10/20 (this work),-,-,-,-,1.44,3.06,3.03,1.93,4.36,4.35,2.58,5.83,6.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STGCN [Yu et al. 2018],as reported in Wu et al. 2019 Table 2,conventional 70/10/20 (published),-,-,-,-,1.36,2.96,2.9,1.81,4.27,4.17,2.49,5.69,5.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DCRNN [Li et al. 2018],as reported in Wu et al. 2019 Table 2,conventional 70/10/20 (published),-,-,-,-,1.38,2.95,2.9,1.74,3.97,3.9,2.07,4.74,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Graph WaveNet [Wu et al. 2019],as reported in Wu et al. 2019 Table 2,conventional 70/10/20 (published),-,-,-,-,1.3,2.74,2.73,1.63,3.7,3.67,1.95,4.52,4.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WaveNet [Oord et al. 2016],as reported in Wu et al. 2019 Table 2,conventional 70/10/20 (published),-,-,-,-,1.39,3.01,2.91,1.83,4.21,4.16,2.35,5.43,5.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FC-LSTM [Li et al. 2018],as reported in Wu et al. 2019 Table 2,conventional 70/10/20 (published),-,-,-,-,2.05,4.19,4.8,2.2,4.55,5.2,2.37,4.96,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARIMA [Li et al. 2018],as reported in Wu et al. 2019 Table 2,conventional 70/10/20 (published),-,-,-,-,1.62,3.3,3.5,2.33,4.76,5.4,3.38,6.5,8.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
